City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Severo-Kurilsk,RU,2021-01-26 00:13:24,50.6789,156.125,20.73,93,92,21.23
171,Dicabisagan,PH,2021-01-26 00:13:24,17.0818,122.4157,75.58,89,100,6.64
172,Port Alfred,ZA,2021-01-26 00:13:24,-33.5906,26.891,63.0,93,2,5.01
173,Lompoc,US,2021-01-26 00:13:25,34.6391,-120.4579,51.8,58,20,31.07
174,Beringovskiy,RU,2021-01-26 00:13:25,63.05,179.3167,-2.07,91,100,17.02
175,Tecoanapa,MX,2021-01-26 00:12:01,16.5167,-98.75,80.35,74,7,8.59
176,Cherskiy,RU,2021-01-26 00:12:16,68.75,161.3,-36.65,82,61,2.21
177,Baruun-Urt,MN,2021-01-26 00:13:25,46.6806,113.2792,-8.9,83,1,12.21
178,Port Elizabeth,ZA,2021-01-26 00:13:25,-33.918,25.5701,64.4,94,0,1.14
179,Faanui,PF,2021-01-26 00:13:25,-16.4833,-151.75,81.14,76,46,17.9
180,Airai,TL,2021-01-26 00:13:25,-8.9266,125.4092,65.59,99,98,3.22
181,Sambava,MG,2021-01-26 00:12:00,-14.2667,50.1667,77.05,87,87,2.51
182,Qinggang,CN,2021-01-26 00:13:26,46.6833,126.0833,-2.74,93,37,7.11
183,Lafiagi,NG,2021-01-26 00:13:26,8.8667,5.4167,80.73,18,45,4.12
184,Aktash,RU,2021-01-26 00:13:26,50.3,87.7333,-15.3,89,100,3.06
185,Candolim,IN,2021-01-26 00:13:26,15.5181,73.7626,73.26,65,5,4.52
186,East London,ZA,2021-01-26 00:13:26,-33.0153,27.9116,70.54,76,37,20.0
187,Benguela,AO,2021-01-26 00:13:26,-12.5763,13.4055,77.7,72,61,3.71
188,Kipini,KE,2021-01-26 00:13:27,-2.5257,40.5262,76.42,86,87,9.53
189,Matucana,PE,2021-01-26 00:13:27,-11.85,-76.4,59.5,60,99,2.51
190,Broome,US,2021-01-26 00:12:07,42.2506,-75.833,25.0,58,1,2.75
191,Los Llanos De Aridane,ES,2021-01-26 00:12:07,28.6585,-17.9182,66.2,68,90,9.22
192,La Ronge,CA,2021-01-26 00:13:27,55.1001,-105.2842,-16.6,69,46,1.14
193,Lazaro Cardenas,MX,2021-01-26 00:13:27,17.9583,-102.2,77.74,77,9,9.33
194,Nioro,GM,2021-01-26 00:13:27,13.35,-15.75,69.28,24,0,3.65
195,Yaan,NG,2021-01-26 00:13:27,7.3833,8.5667,75.7,19,1,0.11
196,Bambanglipuro,ID,2021-01-26 00:13:28,-7.95,110.2833,79.07,79,91,3.65
197,Uruzgan,AF,2021-01-26 00:13:28,32.8333,66.0,31.37,78,0,3.2
198,Roald,NO,2021-01-26 00:13:28,62.5833,6.1333,33.8,93,90,6.91
