City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Hefei,CN,31.8639,117.2808,48.2,71,75,4.47,mist
190,Townsville,AU,-19.25,146.8,86.0,74,20,16.11,few clouds
191,Mwinilunga,ZM,-11.7358,24.4293,61.9,95,100,1.97,light rain
192,Bosansko Grahovo,BA,44.1794,16.3639,37.0,46,5,5.99,clear sky
193,Sistranda,NO,63.7256,8.834,32.0,80,40,16.11,light snow
194,Rocha,UY,-34.4833,-54.3333,72.34,82,100,8.16,overcast clouds
195,Te Anau,NZ,-45.4167,167.7167,60.3,85,88,7.25,overcast clouds
196,Kapit,MY,2.0167,112.9333,84.78,75,98,1.03,light rain
197,Tabuk,PH,17.4189,121.4443,76.71,81,79,10.74,broken clouds
198,Katsuura,JP,35.1333,140.3,54.0,87,75,9.22,broken clouds
199,Bilibino,RU,68.0546,166.4372,-18.47,82,100,6.71,overcast clouds
200,Souillac,MU,-20.5167,57.5167,86.0,58,40,8.05,scattered clouds
201,Maniwaki,CA,46.3834,-75.966,17.6,86,100,4.61,overcast clouds
202,Coquimbo,CL,-29.9533,-71.3436,59.0,88,0,4.61,clear sky
203,Vagur,FO,61.4732,-6.8119,39.31,73,38,17.74,scattered clouds
204,Teya,RU,60.3778,92.6267,-24.23,82,100,5.03,light snow
205,Brazzaville,CG,-4.2658,15.2832,75.2,88,40,2.3,scattered clouds
206,Mount Gambier,AU,-37.8333,140.7667,71.6,37,2,18.41,clear sky
207,Sisimiut,GL,66.9395,-53.6735,6.12,87,32,7.16,scattered clouds
208,Agadez,NE,19.75,10.25,56.61,31,0,8.63,clear sky
209,Vila Franca Do Campo,PT,37.7167,-25.4333,62.01,100,75,23.02,mist
210,Bundaberg,AU,-24.85,152.35,87.01,54,40,14.97,scattered clouds
211,Belyy Yar,RU,53.6039,91.3903,-14.8,70,90,2.24,heavy snow
212,Marinette,US,45.1,-87.6307,17.6,85,75,5.75,broken clouds
213,Nantucket,US,41.2835,-70.0995,34.0,93,75,9.22,light rain
214,Sheffield,GB,53.383,-1.4659,44.01,95,100,7.49,overcast clouds
215,Port-Cartier,CA,50.0334,-66.8654,26.6,68,74,5.75,broken clouds
216,Ancud,CL,-41.8697,-73.8203,53.01,93,40,4.61,scattered clouds
217,Emporia,US,38.4039,-96.1817,26.6,80,90,8.05,light snow
218,Chubbuck,US,42.9208,-112.4661,24.8,74,75,8.3,broken clouds
219,Upington,ZA,-28.4478,21.2561,69.8,49,0,10.36,clear sky
220,Zalantun,CN,48.0,122.7167,6.08,78,49,11.56,scattered clouds
221,Makakilo City,US,21.3469,-158.0858,77.0,69,1,5.75,clear sky
222,Chuy,UY,-33.6971,-53.4616,71.83,93,100,6.82,overcast clouds
223,Luderitz,NA,-26.6481,15.1594,66.69,57,2,25.48,clear sky
224,Ketchikan,US,55.3422,-131.6461,26.6,93,1,6.91,clear sky
225,Samarai,PG,-10.6167,150.6667,85.41,71,70,7.74,broken clouds
226,Severo-Kurilsk,RU,50.6789,156.125,25.47,95,81,20.33,broken clouds
227,Bredasdorp,ZA,-34.5322,20.0403,64.4,88,38,9.22,light rain
228,Bhadrachalam,IN,17.6667,80.8833,86.27,44,8,6.29,clear sky
229,Safaga,EG,26.7292,33.9365,53.6,50,0,3.15,clear sky
230,Esmeralda,CU,21.8525,-78.1169,69.8,100,1,6.91,clear sky
231,Kupang,ID,-10.1667,123.5833,84.2,84,75,12.66,broken clouds
232,Fort-Shevchenko,KZ,44.5086,50.263,35.98,75,0,24.25,clear sky
233,Hamilton,US,39.1834,-84.5333,34.0,75,90,6.91,overcast clouds
234,Kimbe,PG,-5.5502,150.1429,86.14,66,74,5.79,broken clouds
235,Canals,ES,38.9625,-0.5844,60.01,82,32,9.64,scattered clouds
236,Nizhniy Baskunchak,RU,48.2198,46.8311,30.0,94,99,14.99,overcast clouds
237,Altay,CN,47.8667,88.1167,6.48,79,55,0.63,broken clouds
238,Timra,SE,62.487,17.3257,10.99,85,0,3.44,clear sky
239,Vigrestad,NO,58.5667,5.7,21.99,93,75,3.44,broken clouds
240,Sao Filipe,CV,14.8961,-24.4956,72.09,70,0,5.14,clear sky
241,Boundiali,CI,9.5217,-6.4869,64.89,27,0,3.13,clear sky
242,Rundu,NA,-17.9333,19.7667,67.96,89,100,9.57,light rain
243,Warrnambool,AU,-38.3833,142.4833,69.01,60,10,3.0,clear sky
244,Chulman,RU,56.8479,124.9104,-31.58,80,100,10.27,overcast clouds
245,Hami,CN,42.8,93.45,25.7,75,0,1.88,clear sky
246,Havoysund,NO,70.9963,24.6622,26.6,68,75,23.02,broken clouds
247,Roma,US,43.2128,-75.4557,27.0,86,90,9.22,light snow
248,Sitka,US,57.0531,-135.33,26.6,50,1,8.16,clear sky
249,Mahibadhoo,MV,3.7833,72.9667,80.55,71,95,13.89,overcast clouds
250,Saint George,US,37.1041,-113.5841,37.4,75,90,2.57,overcast clouds
251,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.73,85,65,11.03,broken clouds
